,Security,TimeStamp,Num Of Trading Min,OrderType,LastBuyScore,LastSellScore,Position Num of Buys,Position Current Price Real,Position Current Price 10 Min avg,Security Trade Signal,Security Trade Signal Reason,Security Trade Score,Opp Security,Opp Security Trade Signal,Opp Security Trade Score,BuyReason,SellReason,Open Price,Previous Closing Price,Short MAVG 5,Long MAVG 13,Short MAVG Min,Long MAVG Min,MAVG Min Diff,ATR Stoploss Range,ATR Stoploss,Slope 15 Min,Slope 15 Min Win Diff,RSI,Previous Day RSI,RSI Slope,RSI Gain Percent,Last AB Pattern,Last AB Date,Last AB Age,Last AB Buy Level,Last AB Stop-Loss Level,Last AB Sell Level,Last AB Signal,Last AB Total Net,Last AB Net Age Ratio,Last Confirmation Level,Last Confirmation Date,Last Confirmation Age,Last Confirmed Signal,Last Confirmed AB Confirmation Level,Last Confirmed AB Confirmation Date,Last Confirmed AB Age,Last Confirmed AB Total Net,Position Amount,Position Cost Basis,Position Gain Loss,Position Gain Loss Percent,Position Last Buy DT,Position Num of Days Held,Position Gain Avg Per Day,Position Held Max High,Position Held Max Gain,Position Held Max Gain Percent,Position Held Max Gain Loss Ratio,Position Day High,Position Day High Gain Loss Percent,Position Day High Trail Percent,Position Day Slope High,Position Day Slope Trail,Daily Current Gain Loss Percent,Daily Max Gain Percent,Daily Max Gain Loss Ratio,Daily Max Loss Percent,Daily Max Loss Ratio,Daily Current Gain Loss Percent From Open,Daily Max Gain Percent From Open,Daily Max Gain Loss Ratio From Open,Daily Current Gain Loss Diff From Open Close,Position Trailing Stop,Position Trailing Percent,Position Trailing Loss Percent,Position Last Sell DT,Position Num of Days Since Last Sell,Opp Pos Num of Days Since Last Buy,Opp Pos Num of Days Since Last Sell,OrderId
42,TQQQ,2021-09-16 18:02:00+00:00,272,BUY,0.6176242896,,1,73.185,73.19,BUY,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",-10.54082064,SQQQ,,7.700178683,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",,72.775,73.58,72.734,74.23384615,72.75173333,72.67928333,0.07245,2.102332903,70.6726671,32.34846166,23.67011661,43.93576965,46.97735952,-3.041589866,-6.474586689,BULLISH ONE WHITE SOLDIER,2021-09-15,1,73.58,70.8825,,,12,12,,nan,100,SELL,73.884,2021-09-10,6,11,0,0,0,0,2021-09-13 14:55:00+00:00,0,0,0,0,0,0,0,0,0,0,0,-0.5368306605,-0.4552867627,-0.03712585725,-2.663767328,5.665664404,0.557216635,-0.4552867627,0.4609793942,1.094047295,0,0,0,2021-09-13 15:16:00+00:00,3,0,0,d11027a336a14f84a5413dd87d783a72
48,TQQQ,2021-09-21 13:51:00+00:00,21,BUY,-0.8507947832,,1,68.19,68.0825,BUY,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",-0.8039370604,SQQQ,,-8.302365427,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",,67.69,66.745,70.475,72.78923077,67.2563,66.22145,1.03485,2.506268264,65.18373174,47.75184851,-14.63620077,25.48815099,14.7209342,10.76721679,73.14221121,BEARISH ONE BLACK CROW,2021-09-17,2,,73.465,71.12,SHORT,43,21.5,67.315,2021-09-20 0:00:00,100,SHORT,67.315,2021-09-20,1,43,0,0,0,0,2021-09-16 18:03:00+00:00,0,0,0,0,0,0,0,0,0,0,0,2.164956176,2.442130497,0.6768958602,0.38205109,-0.6811608316,0.7491197843,2.442130497,4.134553092,-1.415836392,0,0,0,2021-09-16 19:57:00+00:00,3,1,1,3e86bd1b9de043de8607521132e113c9
54,TQQQ,2021-09-21 15:14:00+00:00,104,BUY,-0.8129515692,,2,67.49,67.23,BUY,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",-6.727547258,SQQQ,,0.08164507049,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",,67.69,66.745,70.475,72.78923077,66.78333333,66.93666667,-0.1533333333,2.506268264,65.18373174,41.41130529,59.87975527,19.56454079,14.7209342,4.843606588,32.90284789,BEARISH ONE BLACK CROW,2021-09-17,2,,73.465,71.12,SHORT,43,21.5,67.315,2021-09-20 0:00:00,100,SHORT,67.315,2021-09-20,1,43,0,0,0,0,2021-09-21 13:52:00+00:00,0,0,0,0,0,0,0,0,0,0,0,1.116188479,2.442130497,3.238123439,-0.6742078058,1.20709915,-0.2996479137,2.442130497,6.695780671,-1.415836392,0,0,0,2021-09-21 14:00:00+00:00,0,0,0,551f759c1b3f46808aa851359c5984c5
56,TQQQ,2021-09-22 14:05:00+00:00,35,BUY,1.317007054,,1,67.87,67.66,BUY,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",-5.475915056,SQQQ,,-1.63665889,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",,67.43,66.83,69.107,72.15,67.26003333,67.29768333,-0.03765,2.450073406,64.97992659,38.82638648,24.84891558,22.78595776,13.04687282,9.739084944,74.64689111,BULLISH HOMING PIGEON,2021-09-21,1,67.2275,64,,,3,3,,nan,100,SHORT,67.315,2021-09-20,2,43,0,0,0,0,2021-09-21 15:15:00+00:00,0,0,0,0,0,0,0,0,0,0,0,1.556187341,1.758192429,0.3551638154,-0.03740834954,0.05961378462,0.658386952,1.758192429,1.933669662,-0.897800389,0,0,0,2021-09-21 17:25:00+00:00,1,1,1,3f488edaa9b0413da9f6634b62a445c0
64,TQQQ,2021-09-28 18:30:00+00:00,300,BUY,-0.7506316063,,1,64.245,64.0155,BUY,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",-23.22701826,SQQQ,,21.60507287,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",,66.57,69.185,69.272,70.44076923,63.60346667,63.6661,-0.06263333333,2.647987071,63.92201293,47.75778661,37.12833355,23.66318104,41.04635314,-17.3831721,-42.35010123,BULLISH HOMING PIGEON,2021-09-21,5,67.2275,64,,BUY,3,0.6,67.802,2021-09-22 0:00:00,100,BUY,67.802,2021-09-22,6,3,0,0,0,0,2021-09-22 14:06:00+00:00,0,0,0,0,0,0,0,0,0,0,0,-7.140276071,-3.237696032,-12.63536791,-8.889210089,15.54664191,-3.360555034,-3.237696032,-0.3977801008,3.779721038,0,0,0,2021-09-22 19:57:00+00:00,4,0,0,66dcb3ce07b84965b8c88bad390ba311
66,TQQQ,2021-09-29 14:04:00+00:00,34,BUY,-0.8391224795,,1,64.67,64.8625,BUY,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",-1.149152923,SQQQ,,-5.59881711,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",,63.98,63.415,67.6844,69.52323077,64.4011,64.05506667,0.3460333333,2.741403901,61.2385961,49.22824418,14.17271876,30.2170756,22.17207468,8.045000923,36.28438492,BEARISH STOP LOSS,2021-09-28,1,,64,,,3,3,,nan,100,BUY,67.802,2021-09-22,7,3,0,0,0,0,2021-09-28 18:31:00+00:00,0,0,0,0,0,0,0,0,0,0,0,1.979027044,2.728061184,2.043410964,0.3153827959,-0.5246847743,1.088070646,2.728061184,4.473994531,-0.8909563983,0,0,0,2021-09-28 19:49:00+00:00,1,1,1,538fc31fad7545c38bb1a4162674c7af
72,TQQQ,2021-09-29 18:16:00+00:00,286,BUY,-0.7598885933,,2,64.25,64.0355,BUY,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",-3.553115881,SQQQ,SELL,-9.0429984,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",,63.98,63.415,67.6844,69.52323077,63.44756667,63.26778333,0.1797833333,2.741403901,61.2385961,49.61796374,28.92467523,27.81311265,22.17207468,5.641037965,25.44208445,BEARISH STOP LOSS,2021-09-28,1,,64,,,3,3,,nan,100,BUY,67.802,2021-09-22,7,3,0,0,0,0,2021-09-29 14:05:00+00:00,0,0,0,0,0,0,0,0,0,0,0,1.316723173,2.728061184,3.850216447,-1.206339194,3.043669023,0.4257667744,2.728061184,6.280800014,-0.8909563983,0,0,0,2021-09-29 14:33:00+00:00,0,0,0,2a64e51cbe7044109c2a2b11f6b428e6
76,TQQQ,2021-09-30 18:09:00+00:00,279,BUY,-0.8341778037,,1,63.875,63.5775,BUY,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",-10.49140951,SQQQ,,3.496390423,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",,63.89,62.995,66.167,68.79230769,63.2632,63.16196667,0.1012333333,2.756116414,61.13388359,36.44365566,26.14503805,24.33817192,21.70304297,2.635128952,12.14174877,BEARISH STOP LOSS,2021-09-28,2,,64,,SHORT,3,1.5,63.625,2021-09-29 0:00:00,100,SHORT,63.625,2021-09-29,1,3,0,0,0,0,2021-09-29 18:17:00+00:00,0,0,0,0,0,0,0,0,0,0,0,1.396936265,2.817683943,4.003217921,-1.515993333,4.415981849,-0.0238114136,2.817683943,8.006435841,-1.420747678,0,0,0,2021-09-29 19:40:00+00:00,1,0,0,bcc5db039728485197e335e9c198fc7c
82,TQQQ,2021-10-01 15:04:00+00:00,94,BUY,3.512172403,,1,61.439,61.442,BUY,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",-19.50491379,SQQQ,SELL,7.053789762,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",,62.625,62.285,64.0684,67.90130769,60.98096667,60.97693333,0.004033333333,2.711597937,59.91340206,44.85074341,23.02377811,16.08905367,16.429429,-0.3403753293,-2.071741686,BULLISH HOMING PIGEON *,2021-09-30,1,67.2275,64,,,0,0,,NaT,100,SHORT,63.625,2021-09-29,2,3,0,0,0,0,2021-09-30 18:10:00+00:00,0,0,0,0,0,0,0,0,0,0,0,-1.358272457,1.035562334,2.478965145,-2.994300393,4.898759093,-1.904150277,1.035562334,3.044255654,-0.5458778197,0,0,0,2021-09-30 19:01:00+00:00,1,0,0,b2e3b7789fe84333ad206eca8502ab0c
88,TQQQ,2021-10-06 14:23:00+00:00,53,BUY,-0.9667685926,,1,61.59,60.725,BUY,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",-19.68112098,SQQQ,,13.71691183,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",,60.13,61.81,61.506,65.15961538,60.38716667,60.78833333,-0.4011666667,2.98247419,57.14752581,68.47806721,74.05852341,39.44618825,40.85923231,-1.413044053,-3.458322569,BULLISH HARAMI,2021-10-05,1,61.81,58.235,,,3,3,,nan,100,SHORT,63.625,2021-09-29,7,3,0,0,0,0,2021-10-01 15:05:00+00:00,0,0,0,0,0,0,0,0,0,0,0,-0.3559294613,-0.2750364019,-0.02224853599,-3.526937389,11.18394642,2.362077334,-0.2750364019,0.7253022732,2.718006795,0,0,0,2021-10-01 19:57:00+00:00,3,0,0,d510186e2cca435b9cd938e27b1138ac
90,TQQQ,2021-10-06 17:30:00+00:00,240,BUY,1.824007934,,2,61.78,61.44,BUY,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",-18.96421668,SQQQ,,12.58744757,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",,60.13,61.81,61.506,65.15961538,61.16446667,61.15158333,0.01288333333,2.98247419,57.14752581,31.0080392,21.0903332,40.16309255,40.85923231,-0.6961397545,-1.703751429,BULLISH HARAMI,2021-10-05,1,61.81,58.235,,,3,3,,nan,100,SHORT,63.625,2021-09-29,7,3,0,0,0,0,2021-10-06 14:24:00+00:00,0,0,0,0,0,0,0,0,0,0,0,-0.04853583563,0.647144475,0.4502056694,-3.526937389,12.26810449,2.669470959,0.647144475,-1.308737411,2.718006795,0,0,0,2021-10-06 15:22:00+00:00,0,0,0,e53c4a9650db44ffbb8c5575353072bc
94,TQQQ,2021-10-11 13:52:00+00:00,22,BUY,-0.9002019174,,1,64.271,64.1545,BUY,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",-5.447270871,SQQQ,,1.114484455,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",,62.93,63.74,63.2026,64.49407692,63.68763333,63.83925,-0.1516166667,2.843322584,60.08667742,46.54706903,50.72976235,40.47020945,39.4600957,1.010113744,2.559836022,BEARISH DELIBERATION BLOCK,2021-10-07,2,,66.17,63.8825,SHORT,-3,-1.5,63.74,2021-10-08 0:00:00,100,SHORT,63.74,2021-10-08,3,-3,0,0,0,0,2021-10-06 17:31:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0.8330718544,0.8864135551,0.04728280651,-1.793222466,4.709529979,2.103859429,0.8864135551,-1.079160525,1.270787575,0,0,0,2021-10-06 19:57:00+00:00,3,1,1,3b60ab510c2e47fd96cf2c10b2885714
