,Security,TimeStamp,Num Of Trading Min,OrderType,LastBuyScore,LastSellScore,Position Num of Buys,Position Current Price Real,Position Current Price 10 Min avg,Security Trade Signal,Security Trade Signal Reason,Security Trade Score,Opp Security,Opp Security Trade Signal,Opp Security Trade Score,BuyReason,SellReason,Open Price,Previous Closing Price,Short MAVG 5,Long MAVG 13,Short MAVG Min,Long MAVG Min,MAVG Min Diff,ATR Stoploss Range,ATR Stoploss,Slope 15 Min,Slope 15 Min Win Diff,RSI,Previous Day RSI,RSI Slope,RSI Gain Percent,Last AB Pattern,Last AB Date,Last AB Age,Last AB Buy Level,Last AB Stop-Loss Level,Last AB Sell Level,Last AB Signal,Last AB Total Net,Last AB Net Age Ratio,Last Confirmation Level,Last Confirmation Date,Last Confirmation Age,Last Confirmed Signal,Last Confirmed AB Confirmation Level,Last Confirmed AB Confirmation Date,Last Confirmed AB Age,Last Confirmed AB Total Net,Position Amount,Position Cost Basis,Position Gain Loss,Position Gain Loss Percent,Position Last Buy DT,Position Num of Days Held,Position Gain Avg Per Day,Position Held Max High,Position Held Max Gain,Position Held Max Gain Percent,Position Held Max Gain Loss Ratio,Position Day High,Position Day High Gain Loss Percent,Position Day High Trail Percent,Position Day Slope High,Position Day Slope Trail,Daily Current Gain Loss Percent,Daily Max Gain Percent,Daily Max Gain Loss Ratio,Daily Max Loss Percent,Daily Max Loss Ratio,Daily Current Gain Loss Percent From Open,Daily Max Gain Percent From Open,Daily Max Gain Loss Ratio From Open,Daily Current Gain Loss Diff From Open Close,Position Trailing Stop,Position Trailing Percent,Position Trailing Loss Percent,Position Last Sell DT,Position Num of Days Since Last Sell,Opp Pos Num of Days Since Last Buy,Opp Pos Num of Days Since Last Sell,OrderId
20,TQQQ,2021-08-20 13:53:00+00:00,23,BUY,1.049422529,,1,67.205,67.09,BUY,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",4.192251906,SQQQ,,-4.907623877,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",,66.475,65.865,66.543,67.51307692,66.5096,66.34338333,0.1662166667,2.119444911,64.35555509,25.99922002,-15.74030961,46.39825617,37.35561965,9.042636522,24.2068974,BULLISH PIERCING LINE,2021-08-19,1,65.865,63.725,,,8,8,,nan,100,SHORT,65.75,2021-08-18,2,3,0,0,0,0,2021-08-19 15:04:00+00:00,0,0,0,0,0,0,0,0,0,0,0,2.034464435,2.148333713,0.2446292089,0.6452592424,-0.89639749,1.10832764,2.148333713,2.234280108,-0.926136795,0,0,0,2021-08-19 18:32:00+00:00,1,2,2,73130d856c3b4d20997d1bc6f80bb704
22,TQQQ,2021-08-23 13:51:00+00:00,21,BUY,2.056933277,,1,69.405,69.4,BUY,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Short_Mavg > Long_Mavg', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",8.306844802,SQQQ,,-9.292200823,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Short_Mavg > Long_Mavg', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",,68.515,67.9,66.8808,67.70838462,68.83673333,68.39496667,0.4417666667,2.142778343,66.37222166,26.76787546,-33.57257602,64.25731459,51.81254671,12.44476788,24.01883071,BULLISH PIERCING LINE,2021-08-19,2,65.865,63.725,,BUY,8,4,66.838,2021-08-20 0:00:00,100,BUY,66.838,2021-08-20,3,8,0,0,0,0,2021-08-20 13:54:00+00:00,0,0,0,0,0,0,0,0,0,0,0,2.216494845,2.334315169,0.2750297696,0.88365243,-1.177769439,1.310751105,2.334315169,2.389321123,-0.9057437408,0,0,0,2021-08-20 19:57:00+00:00,1,3,3,b34183a13ac3402aaee9adcbfc32bcc1
24,TQQQ,2021-08-26 15:24:00+00:00,114,BUY,-0.776361448,,1,71.14,71.1375,BUY,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Short_Mavg > Long_Mavg', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",3.06065357,SQQQ,,0.2455245782,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Short_Mavg > Long_Mavg', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",,71.335,71.705,70.74,68.56038462,70.79193333,70.78928333,0.00265,1.998682215,69.33631778,31.59353853,25.92535405,67.27324135,75.1106647,-7.837423353,-10.43450139,BEARISH THREE GAP UPS,2021-08-24,2,,71.97,71.465,,4,2,,nan,100,BUY,66.838,2021-08-20,6,8,0,0,0,0,2021-08-23 13:52:00+00:00,0,0,0,0,0,0,0,0,0,0,0,-0.7879506311,0.06973014434,0.05980620427,-2.070985287,2.657145895,-0.2719475629,0.06973014434,0.02382523585,0.5160030681,0,0,0,2021-08-23 19:57:00+00:00,3,6,6,ab2b08dedf5540d7923142931dd0f9b4
26,TQQQ,2021-08-27 14:10:00+00:00,40,BUY,0.8632746478,,1,71.745,71.5775,BUY,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Short_Mavg > Long_Mavg', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",16.11892546,SQQQ,,-10.0498511,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Short_Mavg > Long_Mavg', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",,70.845,70.49,71.173,68.75346154,71.0911,70.91965,0.17145,2.000192166,68.84480783,31.19093071,28.56699439,65.0309728,61.00973965,4.02123315,6.59113311,BEARISH THREE GAP UPS,2021-08-24,3,,71.97,71.465,SELL,4,1.333333333,70.939,2021-08-26 0:00:00,100,SELL,70.939,2021-08-26,1,4,0,0,0,0,2021-08-26 15:25:00+00:00,0,0,0,0,0,0,0,0,0,0,0,1.780394382,1.908072067,0.2436182239,0.1134912754,-0.1891789595,1.276776848,1.908072067,1.204556774,-0.5036175344,0,0,0,2021-08-26 19:08:00+00:00,1,7,7,f07e62b3c3a94ecbacb429b8c55b4b1f
28,TQQQ,2021-09-03 14:07:00+00:00,37,BUY,-0.07773604454,,1,75.585,75.627,BUY,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Short_Mavg > Long_Mavg', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",16.77768097,SQQQ,,-9.56904885,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Short_Mavg > Long_Mavg', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",,74.35,75.05,74.9416,71.59292308,75.04163333,74.93246667,0.1091666667,1.953344994,72.39665501,43.82202746,38.1600384,88.08361529,88.04931893,0.03429635121,0.03895129642,BEARISH HANGING MAN,2021-08-31,3,,75.26,74.295,,11,3.666666667,,nan,100,BUY,73.4,2021-08-30,4,7,0,0,0,0,2021-08-27 14:11:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0.7128580946,1.199200533,0.5832221113,-0.9593604264,1.604260273,1.64556962,1.199200533,-0.5352860474,0.9327115257,0,0,0,2021-08-27 19:57:00+00:00,5,12,12,31439340af404005a59f747fe1bbe856
30,SQQQ,2021-09-09 17:30:00+00:00,240,BUY,-0.7738942266,,1,36.6,36.65,BUY,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",1.964901992,TQQQ,,-0.7056631869,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",,36.35,36.4,36.26,37.15384615,36.42636667,36.3656,0.06076666667,1.045395479,35.30460452,33.39741829,30.16638273,39.17972667,32.74559391,6.434132761,19.64885041,BULLISH MORNING STAR,2021-09-08,1,36.4,35.8,,,-8,-8,,nan,100,SHORT,37.39,2021-08-30,10,7,0,0,0,0,2021-08-18 19:40:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0.5494505495,0.9615384615,0.396238377,-1.098901099,1.811375438,0.6868131868,0.9615384615,0.264158918,0.1373626374,0,0,0,2021-08-18 19:57:00+00:00,15,3,3,8f024bff3a3144a9b2423de393719145
32,SQQQ,2021-09-13 14:12:00+00:00,42,BUY,-0.9526702551,,1,38.038,37.8745,BUY,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Short_Mavg > Long_Mavg', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",-2.102242089,TQQQ,,2.372188694,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Short_Mavg > Long_Mavg', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",,36.875,37.65,36.73,37,37.65963333,37.50898333,0.15065,1.117575296,35.7574247,40.99144403,30.48998609,56.9407072,57.69294929,-0.7522420889,-1.303871787,BULLISH MORNING STAR,2021-09-08,3,36.4,35.8,,BUY,-8,-2.666666667,36.6,2021-09-09 0:00:00,100,BUY,36.6,2021-09-09,4,-8,0,0,0,0,2021-09-09 17:31:00+00:00,0,0,0,0,0,0,0,0,0,0,0,1.030544489,1.195219124,0.1968222727,-2.390438247,8.177647974,3.088977424,1.195219124,-2.263456136,2.058432935,0,0,0,2021-09-09 19:03:00+00:00,2,5,5,dfe18149a0564c53bc1c2d8cf8f3e51c
34,TQQQ,2021-09-13 14:54:00+00:00,84,BUY,-0.9695184247,,1,72.405,72.5425,BUY,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Short_Mavg > Long_Mavg', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",6.016836383,SQQQ,,-6.63491342,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Short_Mavg > Long_Mavg', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",,74.145,72.775,74.533,74.08,72.14846667,72.16251667,-0.01405,2.021677279,72.12332272,25.19642874,12.91636924,45.05067036,41.29883398,3.751836383,9.084606081,BEARISH HANGING MAN,2021-08-31,8,,75.26,74.295,SELL,11,1.375,73.884,2021-09-10 0:00:00,100,SELL,73.884,2021-09-10,3,11,0,0,0,0,2021-09-03 14:08:00+00:00,0,0,0,0,0,0,0,0,0,0,0,-0.5084163518,2.219168671,6.052971228,-1.642047406,1.861475933,-2.390930952,2.219168671,10.23058865,-1.8825146,0,0,0,2021-09-03 19:57:00+00:00,5,0,0,269286e3759b4827ba8fecfefb5f3928
36,SQQQ,2021-09-13 15:21:00+00:00,111,BUY,-0.8349215554,,2,38.175,38.1625,BUY,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Short_Mavg > Long_Mavg', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",-0.2359808569,TQQQ,SELL,-0.1002128474,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Short_Mavg > Long_Mavg', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",,36.875,37.65,36.73,37,37.87086667,37.90043333,-0.02956666667,1.117575296,35.7574247,40.96938569,37.43680915,58.80696844,57.69294929,1.114019143,1.930945041,BULLISH MORNING STAR,2021-09-08,3,36.4,35.8,,BUY,-8,-2.666666667,36.6,2021-09-09 0:00:00,100,BUY,36.6,2021-09-09,4,-8,0,0,0,0,2021-09-13 14:13:00+00:00,0,0,0,0,0,0,0,0,0,0,0,1.394422311,1.726427623,0.5731831417,-2.390438247,9.047475437,3.452855246,1.726427623,-2.980552337,2.058432935,0,0,0,2021-09-13 14:47:00+00:00,0,0,0,c7f562dbd9ee4625b555469d50567255
38,SQQQ,2021-09-14 13:58:00+00:00,28,BUY,-0.7826556136,,1,37.6,37.5845,BUY,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Short_Mavg > Long_Mavg', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",4.506686867,TQQQ,,-6.851803034,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Short_Mavg > Long_Mavg', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",,37.2,37.7,37.12,36.96923077,37.37006667,37.5926,-0.2225333333,1.11260011,36.08739989,27.05348815,11.24452771,55.27492749,51.52208678,3.752840714,7.283945485,BULLISH MORNING STAR,2021-09-08,4,36.4,35.8,,BUY,-8,-2,36.6,2021-09-09 0:00:00,100,BUY,36.6,2021-09-09,5,-8,0,0,0,0,2021-09-13 15:22:00+00:00,0,0,0,0,0,0,0,0,0,0,0,-0.2652519894,-0.1326259947,-0.01758965447,-1.98938992,3.429982621,1.061007958,-0.1326259947,0.1583068902,1.326259947,0,0,0,2021-09-13 15:47:00+00:00,1,1,1,ed4a16e83f324ee7800d7abce8d313c0
40,SQQQ,2021-09-16 13:52:00+00:00,22,BUY,-0.7802311887,,1,37.75,37.7,BUY,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Short_Mavg > Long_Mavg', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",14.48259227,TQQQ,,-17.68346179,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Short_Mavg > Long_Mavg', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",,37.5,37.1,37.6,36.87307692,37.47356667,37.29075,0.1828166667,1.146531724,36.35346828,26.11550117,-11.58806414,61.54877214,50.70079525,10.84797689,21.39606851,BEARISH ONE BLACK CROW,2021-09-15,1,,38.55,37.1,,8,8,,NaT,100,BUY,36.6,2021-09-09,7,-8,0,0,0,0,2021-09-14 13:59:00+00:00,0,0,0,0,0,0,0,0,0,0,0,1.752021563,1.886792453,0.2542846971,0.539083558,-0.6538749355,0.6738544474,1.886792453,2.288562274,-1.078167116,0,0,0,2021-09-14 15:43:00+00:00,2,3,3,ae40eed7144e40f69bb86a2654bab063
42,TQQQ,2021-09-16 18:02:00+00:00,272,BUY,0.6176242896,,1,73.185,73.19,BUY,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",-10.54082064,SQQQ,,7.700178683,"['Buy Method 4: Bullish Major Turning Point in 10 Min', 'Within ATR-StopLoss OR Slope 15 > 35', 'Slope Last 15 Min > -20']",,72.775,73.58,72.734,74.23384615,72.75173333,72.67928333,0.07245,2.102332903,70.6726671,32.34846166,23.67011661,43.93576965,46.97735952,-3.041589866,-6.474586689,BULLISH ONE WHITE SOLDIER,2021-09-15,1,73.58,70.8825,,,12,12,,nan,100,SELL,73.884,2021-09-10,6,11,0,0,0,0,2021-09-13 14:55:00+00:00,0,0,0,0,0,0,0,0,0,0,0,-0.5368306605,-0.4552867627,-0.03712585725,-2.663767328,5.665664404,0.557216635,-0.4552867627,0.4609793942,1.094047295,0,0,0,2021-09-13 15:16:00+00:00,3,0,0,d11027a336a14f84a5413dd87d783a72
